ksrl_sc_gould_ia_1_2_007,Book,Edition,Part,PlateNumber,Type,BaseFileName,FullFileName,TitleOnPiece,ArtistStatement,NamedArtists,PrinterStatement,Printer,Bird_1_CommonNameOnPiece,Bird_1_GenusOnPiece,Bird_1_SpeciesOnPiece,Bird_1_SpeciesNamers,Bird_1_AltCommonNamesOnPiece,Bird_1_OtherCommonNames,Bird_1_GenusModern,Bird_1_SpeciesModern,Bird_1_OtherGenusSpecies,Bird_1_DateCreated,Medium,Support,Size,SubjectNote,ContentNote,ArtistNote,PublicationNote,PhysicalConditionNote,Bird_2_CommonNamesOnPiece,Bird_2_GenusOnPiece,Bird_2_SpeciesOnPiece,Bird_2_SpeciesNamers,Bird_2_AltCommonNamesOnPiece,Bird_2_OtherCommonNames,Bird_2_GenusModern,Bird_2_SpeciesModern,Bird_2_DateCreated,Bird_2_OtherGenusSpecies,Bird_1_ModernNamer,Bird_1_ModernCommonName,Bird_2_ModernNamer,Bird_2_ModernCommonName,Bird_3_CommonNamesOnPiece,Bird_3_GenusOnPiece,Bird_3_SpeciesOnPiece,Bird_3_SpeciesNamers,Bird_3_AltCommonNamesOnPiece,Bird_3_OtherCommonNames,Bird_3_GenusModern,Bird_3_SpeciesModern,Bird_3_DateCreated,Bird_3_OtherGenusSpecies,Bird_3_ModernNamer,Bird_3_ModernCommonName
403,HB,1st,3,134,pl,ksrl_sc_gould_hb_1_3_134,ksrl_sc_gould_hb_1_3_134.tif,,,,,,,Calypte,costae,,,,Calypte,costae,,,,,,,,,,,,,,,,,,,,,"Bourcier, 1839","Colibr�_ cabeza violeta, Costa's Hummingbird",,,,,,,,,,,,,,
406,HB,1st,3,135,pl,ksrl_sc_gould_hb_1_3_135,ksrl_sc_gould_hb_1_3_135.tif,,,,,,,Calypte,annae,,,,Calypte,anna,,,,,,,,,,,,,,,,,,,,,"Lesson, 1829","Anna's Hummingbird, Colibr�_ cabeza roja",,,,,,,,,,,,,,
416,HB,1st,3,139,pl,ksrl_sc_gould_hb_1_3_139,ksrl_sc_gould_hb_1_3_139.tif,,,,,,,Selasphorus,floresii,,,,Calypte anna x Selasphorus sasin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1042,AU,1st,5,7,pl,ksrl_sc_gould_au_1_5_007,ksrl_sc_gould_au_1_5_007.tif,,,,,,Bankisan cockatoo,Calyptorhynchus,banksii,,,,Calyptorhynchus,banksii,,,,,,,,,,,,,,,,,,,,,"Latham, 1790",Red-tailed Black Cockatoo,,,,,,,,,,,,,,
1045,AU,1st,5,8,pl,ksrl_sc_gould_au_1_5_008,ksrl_sc_gould_au_1_5_008.tif,,,,,,Great-billed black cockatoo,Calyptorhynchus,macrorhynchus,Gould,,,Calyptorhynchus,banksii,,,,,,,,,,,,,,,,,,,,,"Latham, 1790",Red-tailed Black Cockatoo,,,,,,,,,,,,,,
1048,AU,1st,5,9,pl,ksrl_sc_gould_au_1_5_009,ksrl_sc_gould_au_1_5_009.tif,,,,,,Western black cockatoo,Calyptorhynchus,naso,Gould,,,Calyptorhynchus,banksii,,,,,,,,,,,,,,,,,,,,,"Latham, 1790",Red-tailed Black Cockatoo,,,,,,,,,,,,,,
1051,AU,1st,5,10,pl,ksrl_sc_gould_au_1_5_010,ksrl_sc_gould_au_1_5_010.tif,,,,,,Leach's cockatoo,Calyptorhynchus,leachii,,,,Calyptorhynchus,lathami,,,,,,,,,,,,,,,,,,,,,"Temminck, 1807",Glossy Black Cockatoo,,,,,,,,,,,,,,
1054,AU,1st,5,11,pl,ksrl_sc_gould_au_1_5_011,ksrl_sc_gould_au_1_5_011.tif,,,,,,Funereal cockatoo,Calyptorhynchus,funereus,,,,Calyptorhynchus,funereus,,,,,,,,,,,,,,,,,,,,,"Shaw, 1794",Yellow-tailed Black Cockatoo,,,,,,,,,,,,,,
1057,AU,1st,5,12,pl,ksrl_sc_gould_au_1_5_012,ksrl_sc_gould_au_1_5_012.tif,,,,,,Yellow-eared black cockatoo,Calyptorhynchus,xanthonotus,Gould,,,Calyptorhynchus,funereus,,,,,,,,,,,,,,,,,,,,,"Shaw, 1794",Yellow-tailed Black Cockatoo,,,,,,,,,,,,,,
1060,AU,1st,5,13,pl,ksrl_sc_gould_au_1_5_013,ksrl_sc_gould_au_1_5_013.tif,,,,,,Baudin's cockatoo,Calyptorhynchus,baudinii,Vig.,,,Calyptorhynchus,baudinii,,,,,,,,,,,,,,,,,,,,,"Lear, 1832",Long-billed Black Cockatoo,,,,,,,,,,,,,,
